Codigo;Descricao;Unidade
780781;PARAFUSO,ROSCADUP,AZ,16X500,R225,D41028;PEÇ
780782;PARAFUSO,ROSCADUP,AZ,16X550,R250,D41028;PEÇ
780783;PARAFUSO,ROSCADUP,AZ,16X600,R275,D41028;PEÇ
780785;PARAFROSCDUPAL450X200X16MMDQN-1991;PEÇ
780786;PARAFROSCDUPAL500X225X16MMDQN-1991;PEÇ
780787;PARAFROSCDUPAL550X250X16MMDQN-1991;PEÇ
780788;PARAFROSCDUPAL600X275X16MMDQN-1991;PEÇ
780820;PINO,AUTOTRAVANTE,ISOL,190X140,D51507,FP;PEÇ
780852;CINTA,POSTESECAOCIRCULAR,ACO,ZI(SUC);PEÇ
780883;PARAFUSO,DUPLO,ACOCZINCQUENTE(SUC);PEÇ
800250;FITAAMARRACAOACOINOXNAT12,7MMX20M;M
